Gene,C,Z,Pval,FDR,Module
MMP25,0.14971632602914248,143.0771012033376,0.0,0.0,4.0
CYP4F3,0.08935466870934562,142.81138117213445,0.0,0.0,32.0
PLAUR,0.14783619887207322,141.26715181012648,0.0,0.0,4.0
AL390800.1,0.09384856884590205,140.75719840984976,0.0,0.0,2.0
KCNJ15,0.1079011969249551,140.28303446937184,0.0,0.0,4.0
RELN,0.0893942103284225,137.53266395279786,0.0,0.0,45.0
GNLY,0.5135367397507475,135.1467245847188,0.0,0.0,21.0
AFF3,0.7387931996307624,134.60114254327632,0.0,0.0,20.0
EHD2,0.09821880733107123,128.1490022694046,0.0,0.0,22.0
ARHGAP29,0.08824071643238118,128.09130458655798,0.0,0.0,22.0
BACH2,0.6976506597371922,126.53911705025527,0.0,0.0,20.0
CD247,0.5228300063285557,126.04535036002757,0.0,0.0,21.0
